month,client_code,client_name,category,account,gtn_pct
Annual,1002,Chemist & Beauty Direct,All,Channel Discount,0.05
Annual,1002,Chemist & Beauty Direct,All,Logistics Allowance,0.02
Annual,1002,Chemist & Beauty Direct,All,Payment Terms,0.01
Annual,1002,Chemist & Beauty Direct,All,Annual Rebates,0.02
Annual,1002,Chemist & Beauty Direct,All,Listing Fees,0.00
Annual,1003,St. James & Co. Retail,All,Base Discount,0.15
Annual,1003,St. James & Co. Retail,All,PPR,0.00
Annual,1003,St. James & Co. Retail,All,Channel Discount,0.05
Annual,1003,St. James & Co. Retail,All,Logistics Allowance,0.02
Annual,1003,St. James & Co. Retail,All,Payment Terms,0.01
Annual,1003,St. James & Co. Retail,All,Annual Rebates,0.02
Annual,1003,St. James & Co. Retail,All,Listing Fees,0.00
Annual,1004,ValueMart Retail Group,All,Base Discount,0.10
Annual,1004,ValueMart Retail Group,All,PPR,0.00
Annual,1004,ValueMart Retail Group,All,Channel Discount,0.10
Annual,1004,ValueMart Retail Group,All,Logistics Allowance,0.03
Annual,1004,ValueMart Retail Group,All,Payment Terms,0.01
Annual,1004,ValueMart Retail Group,All,Annual Rebates,0.00
Annual,1004,ValueMart Retail Group,All,Listing Fees,0.00
Annual,1005,GlowOnline UK (E‑com),All,Base Discount,0.15
Annual,1005,GlowOnline UK (E‑com),All,PPR,0.00
Annual,1005,GlowOnline UK (E‑com),All,Channel Discount,0.05
Annual,1005,GlowOnline UK (E‑com),All,Logistics Allowance,0.02
Annual,1005,GlowOnline UK (E‑com),All,Payment Terms,0.01
Annual,1005,GlowOnline UK (E‑com),All,Annual Rebates,0.02
Annual,1005,GlowOnline UK (E‑com),All,Listing Fees,0.00
Annual,1006,Highland Pharmacy Group,All,Base Discount,0.15
Annual,1006,Highland Pharmacy Group,All,PPR,0.00
Annual,1006,Highland Pharmacy Group,All,Channel Discount,0.05
Annual,1006,Highland Pharmacy Group,All,Logistics Allowance,0.02
Annual,1006,Highland Pharmacy Group,All,Payment Terms,0.01
Annual,1006,Highland Pharmacy Group,All,Annual Rebates,0.02
Annual,1006,Highland Pharmacy Group,All,Listing Fees,0.00
Annual,1007,Urban Luxe Boutiques,All,Base Discount,0.15
Annual,1007,Urban Luxe Boutiques,All,PPR,0.00
Annual,1007,Urban Luxe Boutiques,All,Channel Discount,0.05
Annual,1007,Urban Luxe Boutiques,All,Logistics Allowance,0.02
Annual,1007,Urban Luxe Boutiques,All,Payment Terms,0.01
Annual,1007,Urban Luxe Boutiques,All,Annual Rebates,0.02
Annual,1007,Urban Luxe Boutiques,All,Listing Fees,0.00
