client_code,client_name,channel,discount_pct,sku,product_name,category,rrp_gbp,price_to_client_gbp,cogs_per_unit_gbp,gross_profit_per_unit_gbp,gross_margin_pct
1003,St. James & Co. Retail,Department Stores,18,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,13.5, 13.39 ,4,7.07,63.9
1003,St. James & Co. Retail,Department Stores,18,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,19.5, 19.35 ,5.8,10.19,63.7
1003,St. James & Co. Retail,Department Stores,18,BL-SK-SER-02,Hydration Serum 50ml,Skincare,14.5, 14.39 ,4.2,7.69,64.7
1003,St. James & Co. Retail,Department Stores,18,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,17.5, 17.36 ,5.2,9.15,63.8
1003,St. James & Co. Retail,Department Stores,18,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,13, 12.90 ,3.8,6.86,64.4
1003,St. James & Co. Retail,Department Stores,18,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,11, 10.91 ,3.3,5.72,63.4
1003,St. James & Co. Retail,Department Stores,18,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,32, 31.75 ,9,17.24,65.7
1003,St. James & Co. Retail,Department Stores,18,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,24, 23.81 ,7,12.68,64.4
1003,St. James & Co. Retail,Department Stores,18,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,22, 21.83 ,6.5,11.54,64
1003,St. James & Co. Retail,Department Stores,18,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,28, 27.78 ,8,14.96,65.2
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,12.5, 12.86 ,3.8,6.83,64.3
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,15, 15.43 ,4.5,8.25,64.7
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,13, 13.37 ,3.9,7.15,64.7
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,13.5, 13.89 ,4,7.48,65.2
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,19.5, 20.06 ,5.8,10.78,65
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-SER-02,Hydration Serum 50ml,Skincare,14.5, 14.92 ,4.2,8.13,65.9
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,17.5, 18.00 ,5.2,9.68,65.1
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,13, 13.37 ,3.8,7.25,65.6
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,11, 11.31 ,3.3,6.05,64.7
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,32, 32.91 ,9,18.2,66.9
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,24, 24.68 ,7,13.4,65.7
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,22, 22.63 ,6.5,12.2,65.2
1007,Urban Luxe Boutiques,Specialty Retail,15,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,28, 28.80 ,8,15.8,66.4
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,12.5, 11.35 ,3.8,5.58,59.5
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,15, 13.61 ,4.5,6.75,60
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,13, 11.80 ,3.9,5.85,60
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,13.5, 12.26 ,4,6.13,60.5
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,19.5, 17.70 ,5.8,8.83,60.4
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-SER-02,Hydration Serum 50ml,Skincare,14.5, 13.16 ,4.2,6.68,61.4
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,17.5, 15.89 ,5.2,7.93,60.4
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,13, 11.80 ,3.8,5.95,61
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,11, 9.98 ,3.3,4.95,60
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,32, 29.04 ,9,15,62.5
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,24, 21.78 ,7,11,61.1
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,22, 19.97 ,6.5,10,60.6
1006,Highland Pharmacy Group,Regional Pharmacy Chain,25,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,28, 25.41 ,8,13,61.9
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,12.5, 10.59 ,3.8,4.95,56.6
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,15, 12.71 ,4.5,6,57.1
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,13, 11.01 ,3.9,5.2,57.1
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,13.5, 11.43 ,4,5.45,57.7
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,19.5, 16.52 ,5.8,7.85,57.5
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-SER-02,Hydration Serum 50ml,Skincare,14.5, 12.28 ,4.2,5.95,58.6
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,17.5, 14.82 ,5.2,7.05,57.6
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,13, 11.01 ,3.8,5.3,58.2
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,11, 9.32 ,3.3,4.4,57.1
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,32, 27.10 ,9,13.4,59.8
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,24, 20.33 ,7,9.8,58.3
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,22, 18.63 ,6.5,8.9,57.8
1001,Premier Supermarkets UK,Grocery / Supermarket,30,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,28, 23.72 ,8,11.6,59.2
